Year,McDonalds_Revenue_$Billion,Growth_rate_percent,Q1,Q2,Q3,Q4
1999,13.3,,,,,
2000,14.2,7,,,,
2001,14.9,4,,,,
2002,15.4,4,,,,3
2003,17.1,11,3.8,4.3,4.5,4.6
2004,18.6,8,4.4,4.7,4.9,4.5
2005,19.1,3,4.8,5.1,5.3,3.9
2006,20.9,9,4.9,5.4,5.5,5.1
2007,22.8,9,5.3,5.8,5.9,5.8
2008,23.5,3,5.6,6.1,6.3,5.6
2009,22.7,-3,5.1,5.6,6,6
2010,24.1,6,5.6,5.9,6.3,6.2
2011,27,12,6.1,6.9,7.2,6.8
2012,27.6,2,6.5,6.9,7.2,7
2013,28.1,2,6.6,7.1,7.3,7.1
2014,27.4,-2,6.7,7.2,7,6.6
2015,25.4,-7,6,6.5,6.6,6.3
2016,24.6,-3,5.9,6.3,6.4,6
2017,22.8,-7,5.7,6,5.8,5.3
2018,21.3,-7,5.1,5.4,5.4,5.4
2019,21.4,1,5,5.3,5.6,5.4
2020,19.2,-10,4.7,3.8,5.4,5.3
2021,23.2,21,5.1,5.9,6.2,6
2022,23.2,0,5.7,5.7,5.9,5.9
